ANTENNA 1,ICOM - Antennas - ANTENNA 1,"118-940MHz 1/4 wave antenna, unity gain, field tunable",$18.00,"['F5011 - F6011 Series', 'F5021 - F6021 Series', 'F5121D - F6121D Series', 'F5220D - F6220D Series', 'F5061 - F6061 & F5061D - F6061D Series', 'F5360D - F6360D Series', 'F1721 - F2721/F2821 Series', 'F9511 - F9521 Series']",Antennas,icom
ANTENNA 2,ICOM - Antennas - ANTENNA 2,"144-174MHz 3dB gain mountable antenna, CHR, 59"" high",$43.00,"['F5011 - F6011 Series', 'F5021 - F6021 Series', 'F5121D - F6121D Series', 'F5220D - F6220D Series', 'F5061 - F6061 & F5061D - F6061D Series', 'F5360D - F6360D Series', 'F1721 - F2721/F2821 Series', 'F9511 - F9521 Series']",Antennas,icom
ANTENNA 3,ICOM - Antennas - ANTENNA 3,"450-470MHz 5dB gain mountable antenna, CHR, 40"" high",$55.00,"['F5011 - F6011 Series', 'F5021 - F6021 Series', 'F5121D - F6121D Series', 'F5220D - F6220D Series', 'F5061 - F6061 & F5061D - F6061D Series', 'F5360D - F6360D Series', 'F1721 - F2721/F2821 Series', 'F9511 - F9521 Series']",Antennas,icom
ANTENNA 4,ICOM - Antennas - ANTENNA 4,"152-162MHz, unity gain antenna, NMO compatible, 21.6"". Factory tuned to 157MHz",$20.00,"['F5011 - F6011 Series', 'F5021 - F6021 Series', 'F5121D - F6121D Series', 'F5220D - F6220D Series', 'F5061 - F6061 & F5061D - F6061D Series', 'F5360D - F6360D Series', 'F1721 - F2721/F2821 Series', 'F9511 - F9521 Series']",Antennas,icom
AT140,ICOM - Antenna Tuners - AT140,HF automatic antenna tuner.,$710.00,['F8101'],Antenna Tuners,icom
AW F70 AREA 51,ICOM - Carrying Cases - AW F70 AREA 51,Water repellant case with a swivel belt clip for the F70/80,$35.00,['F70/F80 - F70D/F80D Series'],Carrying Cases,icom
AW STUD/SWIVEL KIT,ICOM - Belt Clips - AW STUD/SWIVEL KIT,Metal stud that slides on like a belt clip and it's attached to a strong metal swivel belt clip,$21.00,"['F3011 - F4011 Series', 'F3230D - F4230D Series', 'F3161 - F4161 / F3161D - F4161D Series', 'F70/F80 - F70D/F80D Series', 'F9011 - F9021 Series', 'F3031S - F4031S Series (Discontinued)', 'F14/F24 - F33G/F43G - F43TR - F3021/F4021 (Discontinued)']",Belt Clips,icom
AW SWIVEL,ICOM - Belt Clips - AW SWIVEL,Swivel clip used with the AW Stud/Swivel Kit.,$13.00,"['F3011 - F4011 Series', 'F3230D - F4230D Series', 'F3161 - F4161 / F3161D - F4161D Series', 'F3031S - F4031S Series (Discontinued)', 'F14/F24 - F33G/F43G - F43TR - F3021/F4021 (Discontinued)']",Belt Clips,icom
BC119N 02,ICOM - Chargers - BC119N 02,Rapid charger requiring radio specific adapter cup; 100-240V w/Euro style plug,$76.00,"['F3161 - F4161 / F3161D - F4161D Series', 'F70/F80 - F70D/F80D Series', 'F9011 - F9021 Series', 'F50V/F60V Series (Discontinued)', 'F3031S - F4031S Series (Discontinued)']",Chargers,icom
BC119NS 11,ICOM - Chargers - BC119NS 11,Rapid charger with AD110 installed for F70/80/9011/9021 radios; 100-240V with US style plug,$95.00,"['F70/F80 - F70D/F80D Series', 'F9011 - F9021 Series']",Chargers,icom
